Ticker;SimFinId;Currency;"Fiscal Year";"Fiscal Period";"Report Date";"Publish Date";"Restated Date";"Shares (Basic)";"Shares (Diluted)";"Net Income/Starting Line";"Depreciation & Amortization";"Non-Cash Items";"Change in Working Capital";"Change in Accounts Receivable";"Change in Inventories";"Change in Accounts Payable";"Change in Other";"Net Cash from Operating Activities";"Change in Fixed Assets & Intangibles";"Net Change in Long Term Investment";"Net Cash from Acquisitions & Divestitures";"Net Cash from Investing Activities";"Dividends Paid";"Cash from (Repayment of) Debt";"Cash from (Repurchase of) Equity";"Net Cash from Financing Activities";"Net Change in Cash"
A;45846;USD;2017;FY;2017-10-31;2017-12-21;2018-12-20;322000000;326000000;684000000;212000000;193000000;-200000000;-81000000;-61000000;2000000;-60000000;889000000;-176000000;0;-126000000;-305000000;-170000000;110000000;-128000000;-202000000;389000000
A;45846;USD;2018;FY;2018-10-31;2018-12-20;2020-12-18;321000000;325000000;316000000;210000000;90000000;471000000;-65000000;-83000000;40000000;579000000;1087000000;-176000000;;-516000000;-705000000;-191000000;-210000000;-366000000;-797000000;-432000000
A;45846;USD;2019;FY;2019-10-31;2019-12-19;2021-12-17;314000000;318000000;1071000000;238000000;-152000000;-136000000;-106000000;-36000000;29000000;-23000000;1021000000;-155000000;;-1408000000;-1590000000;-206000000;600000000;-669000000;-299000000;-866000000
A;45846;USD;2020;FY;2020-10-31;2020-12-18;2022-12-21;309000000;312000000;719000000;308000000;220000000;-326000000;;;;;921000000;-118000000;;;-147000000;-222000000;-45000000;-409000000;-717000000;59000000
A;45846;USD;2021;FY;2021-10-31;2021-12-17;2022-12-21;305000000;307000000;1210000000;321000000;56000000;-102000000;;;;;1485000000;-187000000;12000000;-547000000;-749000000;-236000000;356000000;-733000000;-696000000;43000000
A18;1253413;USD;2017;FY;2017-12-31;2018-04-23;2020-04-09;66300808;71775893;2174000000;490000000;2225000000;2180000000;;;;;7069000000;-494000000;-1541000000;-2079000000;-16988000000;;8339000000;732000000;9779000000;-187000000
A18;1253413;USD;2018;FY;2018-12-31;2019-03-15;2021-03-15;68403426;70924623;1096000000;546000000;3350000000;2123000000;;;;;7115000000;-708000000;-4387000000;-1197000000;-14356000000;;14431000000;677000000;12204000000;5782000000
A18;1253413;USD;2019;FY;2019-12-31;2020-04-09;2022-04-27;70983996;80244014;6998000000;656000000;-603000000;282000000;;;;;7333000000;-834000000;-15834000000;-413000000;-1549000000;;-1090000000;467000000;-10120000000;-4027000000
A18;1253413;USD;2020;FY;2020-12-31;2021-03-15;2022-04-27;70983996;80244014;-3269000000;790000000;5590000000;-6934000000;;;;;-3823000000;-532000000;-9770000000;-3051000000;-6001000000;;18253000000;159000000;8205000000;-2332000000
A18;1253413;USD;2021;FY;2021-12-31;2022-04-27;2022-04-27;70983996;80244014;-645000000;723000000;2220000000;177000000;;;;;2475000000;-571000000;-6818000000;-365000000;-3419000000;;1709000000;8291000000;3190000000;1781000000
A21;1333027;USD;2019;FY;2019-12-31;2020-03-09;2022-04-19;;;-2417874000;116391000;672729000;-153561000;;;;;-1793710000;-951253000;-98000000;-560000000;-2574836000;;401357000;5156924000;5655690000;1340866000
A21;1333027;USD;2020;FY;2020-12-31;2021-03-10;2022-04-19;;;-166030000;320996000;-83148000;3067838000;;;;;3139804000;-674652000;-65000000;-35448000;-18737725000;;3685057000;21025640000;24710697000;8736130000
A21;1333027;USD;2021;FY;2021-12-31;2022-04-19;2022-04-19;;;-321455000;590397000;1455521000;6615922000;;;;;8340385000;-3444535000;;-630698000;-4257244000;;16708324000;1209000;16709533000;20320545000
AA;367153;USD;2017;FY;2017-12-31;2018-02-26;2019-02-26;184000000;187000000;559000000;752000000;439000000;-526000000;;;;;1224000000;-405000000;-66000000;245000000;-473000000;;-32000000;43000000;-259000000;506000000
AA;367153;USD;2018;FY;2018-12-31;2019-02-26;2021-02-25;186000000;189000000;893000000;733000000;-356000000;-822000000;;;;;448000000;-399000000;-7000000;1000000;-405000000;;425000000;-27000000;-288000000;-249000000
AA;367153;USD;2019;FY;2019-12-31;2020-02-21;2022-02-24;185000000;185000000;-853000000;713000000;1091000000;-265000000;;;;;686000000;-379000000;-112000000;23000000;-468000000;;-7000000;2000000;-444000000;-233000000
AA;367153;USD;2020;FY;2020-12-31;2021-02-25;2022-02-24;186000000;186000000;-14000000;653000000;-221000000;-24000000;;;;;394000000;-353000000;-12000000;198000000;-167000000;;738000000;1000000;514000000;727000000
AA;367153;USD;2021;FY;2021-12-31;2022-02-24;2022-02-24;185663439;185663439;570000000;664000000;358000000;-672000000;;;;;920000000;-390000000;-11000000;966000000;565000000;-19000000;-799000000;-125000000;-1158000000;314000000
AAC_delist;939324;USD;2017;FY;2017-12-31;2018-02-03;2019-04-15;23277444;23277444;-17381000;21504000;36363000;-21194000;;;;;19292000;-33041000;;;-34041000;;24683000;;24603000;9854000
AAC_delist;939324;USD;2018;FY;2018-12-31;2019-02-12;2019-04-15;24090639;24090639;-66718000;21986000;10424000;5454000;;;;;-28854000;-18949000;;-65827000;-84776000;;105842000;;105221000;-8409000
AAL;68568;USD;2017;FY;2017-12-31;2018-02-21;2019-02-25;489164000;491692000;1282000000;2017000000;2166000000;-721000000;;;;;4744000000;-5024000000;;-203000000;-3636000000;-198000000;3058000000;-1615000000;-1145000000;-37000000
AAL;68568;USD;2018;FY;2018-12-31;2019-02-25;2021-02-17;464236000;465660000;1412000000;2159000000;528000000;-566000000;;;;;3533000000;-2538000000;;;-1973000000;-186000000;2354000000;-837000000;-1672000000;-112000000
AAL;68568;USD;2019;FY;2019-12-31;2020-02-19;2022-02-22;443363000;444269000;1686000000;2318000000;678000000;-867000000;;;;;3815000000;-4062000000;;;-2243000000;-178000000;-230000000;-1097000000;-1568000000;4000000
AAL;68568;USD;2020;FY;2020-12-31;2021-02-17;2022-02-22;483888000;483888000;-8885000000;2370000000;-1245000000;1217000000;;;;;-6543000000;-1690000000;;;-4342000000;-43000000;8245000000;2797000000;10994000000;109000000
AAL;68568;USD;2021;FY;2021-12-31;2022-02-22;2022-02-22;648766000;648766000;-1993000000;2335000000;-679000000;1041000000;;;;;704000000;-219000000;-28000000;;-5983000000;;4847000000;442000000;5288000000;9000000
AAMC;847094;USD;2017;FY;2017-12-31;2018-03-01;2018-03-01;1570428;1570428;-6969000;302000;6986000;46000;;;;;365000;-1216000;0;0;-1841000;;0;-5194000;-5759000;-7235000
AAMC;847094;USD;2018;FY;2018-12-31;2019-04-30;2019-04-30;1611424;1611424;-10876000;436000;9550000;-1536000;;;;;-2426000;-148000;612000;;-107000;;0;-3624000;-3645000;-6178000
AAMC;847094;USD;2019;FY;2019-12-31;2020-04-29;2021-03-03;1589952;1589952;-10557000;322000;-3349000;-1343000;;;;;-6744000;-163000;;;-186000;;;;-244000;-7206000
AAMC;847094;USD;2020;FY;2020-12-31;2021-03-03;2022-03-31;1631326;1631326;-14720000;354000;-4279000;-547000;;;;;18606000;-86000;;;3557000;;;;-297000;21842000
AAMC;847094;USD;2021;FY;2021-12-31;2022-03-31;2022-03-31;1631326;1631326;-12217000;309000;-9476000;-1731000;;;;;-17676000;-511000;55846000;;58907000;;0;;-4804000;36542000
AAN;441241;USD;2017;FY;2017-12-31;2018-03-01;2018-03-01;70837000;72121000;292536000;1531203000;192561000;-1857165000;;;;;159135000;-45268000;;-144417000;-205337000;-7962000;-135035000;-59093000;-211397000;-257524000
AAN;441241;USD;2018;FY;2018-12-31;2019-02-14;2021-02-23;69128000;70597000;50653000;573969000;-492129000;54043000;;;;;186536000;-60110000;3066000;-188959000;-246003000;;55917000;;37869000;-21754000
AAN;441241;USD;2019;FY;2019-12-31;2020-04-27;2022-02-24;67322000;68631000;28099000;601964000;266657000;-710743000;;;;;185977000;-65927000;1212000;-11472000;-76187000;;-84531000;;-73143000;36767000
AAN;441241;USD;2020;FY;2020-12-31;2021-01-26;2022-02-24;33877000;33877000;-265912000;571260000;552665000;-502244000;;;;;355769000;-60607000;;-14434000;-75041000;;-342335000;;-253411000;27350000
AAN;441241;USD;2021;FY;2021-12-31;2022-02-24;2022-02-24;32485000;33188000;109934000;593842000;202258000;-769994000;;;;;136040000;-77386000;1974000;-9963000;-85375000;-9971000;9260000;-100511000;-103951000;-53291000
AAOI;671827;USD;2017;FY;2017-12-31;2018-02-28;2018-02-28;19097355;20139105;73951000;20381000;9974000;-20022000;;;;;84284000;-67296000;;;-70159000;;5933000;23032000;18244000;31984000
AAOI;671827;USD;2018;FY;2018-12-31;2019-02-26;2021-02-25;19647000;19647000;-2146000;29698000;8823000;-22346000;;;;;14029000;-77224000;;;-76514000;;38820000;120000;34803000;-25944000
AAOI;671827;USD;2019;FY;2019-12-31;2020-02-28;2022-02-24;19982363;19982363;-66049000;24014000;33806000;6475000;;;;;-1754000;-29428000;;;-32116000;;43481000;14000;42596000;9024000
AAOI;671827;USD;2020;FY;2020-12-31;2021-02-25;2022-02-24;21866630;21866630;-58452000;24733000;24119000;-34409000;;;;;-44009000;-16068000;;;-19347000;;9322000;39216000;47441000;-16914000
AAOI;671827;USD;2021;FY;2021-12-31;2022-02-24;2022-02-24;27097372;27097372;-54162000;25371000;11190000;5957000;;;;;-11644000;-8324000;;;-10546000;;-339000;15405000;14088000;-8978000
AAON;919501;USD;2017;FY;2017-12-31;2018-02-27;2020-02-27;52572496;53078734;53830000;15007000;6015000;-16858000;;;;;57994000;-41703000;10591000;;-31052000;-13663000;;-14361000;-29638000;-2696000
AAON;919501;USD;2018;FY;2018-12-31;2019-02-28;2021-02-25;52284616;52667939;42329000;17655000;10858000;-15986000;;;;;54856000;-37255000;-1136000;-6377000;-34635000;-16728000;;-21859000;-39684000;-19463000
AAON;919501;USD;2019;FY;2019-12-31;2020-02-27;2022-02-28;52079865;52635415;53711000;22766000;19674000;1774000;;;;;97925000;-37097000;0;;-37046000;-16645000;6614000;-6961000;-18500000;42379000
AAON;919501;USD;2020;FY;2020-12-31;2021-02-25;2022-02-28;52168679;53061169;79009000;25634000;19159000;5012000;;;;;128814000;-67742000;;;-61273000;-19815000;;-8642000;-29626000;37915000
AAON;919501;USD;2021;FY;2021-12-31;2022-02-28;2022-02-28;52420711;53546513;58758000;30343000;16223000;-44141000;;;;;61183000;-55343000;;-103430000;-158719000;-19947000;40000000;272000;18735000;-78801000
AAP;184955;USD;2017;FY;2017-12-31;2018-02-21;2020-02-18;73846000;74110000;475505000;249260000;-95767000;-28193000;;;;;600805000;-178659000;;;-178639000;-17854000;14004000;-2422000;-14872000;411759000
AAP;184955;USD;2018;FY;2018-12-31;2019-02-19;2021-02-22;73728000;73991000;423847000;238184000;61867000;87130000;;;;;811028000;-191827000;;;-191827000;-17819000;32014000;-278154000;-263915000;349590000
AAP;184955;USD;2019;FY;2019-12-31;2020-02-18;2022-02-15;70869000;71165000;486896000;238371000;79694000;61948000;;;;;866909000;-462939000;;;-462939000;-17185000;-369386000;-495101000;-882153000;-477862000
AAP;184955;USD;2020;FY;2020-12-31;2021-02-22;2021-02-22;68748000;69003000;493021000;250081000;107623000;118963000;;;;;969688000;-266897000;;;-266897000;-56347000;244524000;-466421000;-285997000;416327000
AAP;184955;USD;2021;FY;2021-12-31;2022-02-15;2022-02-15;62854000;63348000;616108000;259933000;132233000;103988000;;;;;1112262000;-287314000;;;-287314000;-160925000;;-903134000;-1064112000;-233564000
AAPL;111052;USD;2017;FY;2017-09-30;2017-11-03;2019-10-31;20868968000;21006768000;48351000000;10157000000;10806000000;-5089000000;;;;;64225000000;-12451000000;-33542000000;-329000000;-46446000000;-12769000000;29014000000;-32345000000;-17974000000;-195000000
AAPL;111052;USD;2018;FY;2018-09-30;2018-11-05;2020-10-30;19821508000;20000436000;59531000000;10903000000;-27250000000;34250000000;;;;;77434000000;-13313000000;30845000000;-721000000;16066000000;-13712000000;432000000;-72069000000;-87876000000;5624000000
AAPL;111052;USD;2019;FY;2019-09-30;2019-10-31;2021-10-29;18471336000;18595652000;55256000000;12547000000;5076000000;-3488000000;;;;;69391000000;-10495000000;58093000000;-624000000;45896000000;-14119000000;-7819000000;-66116000000;-90976000000;24311000000
AAPL;111052;USD;2020;FY;2020-09-30;2020-10-30;2022-10-28;17352119000;17528214000;57411000000;11056000000;6517000000;5690000000;;;;;80674000000;-7309000000;5453000000;-1524000000;-4289000000;-14081000000;2499000000;-72358000000;-86820000000;-10435000000
AAPL;111052;USD;2021;FY;2021-09-30;2021-10-29;2022-10-28;16391724000;16519291000;94680000000;11284000000;2985000000;-4911000000;;;;;104038000000;-11085000000;-3075000000;-33000000;-14545000000;-14467000000;12665000000;-85971000000;-93353000000;-3860000000
AAT;919944;USD;2017;FY;2017-12-31;2018-02-03;2020-02-14;46715520;64087250;40132000;83278000;15700000;6743000;;;;;145853000;-325637000;;;-330564000;-67537000;262861000;29873000;221914000;37203000
AAT;919944;USD;2018;FY;2018-12-31;2019-02-15;2021-02-16;46950812;64136559;27202000;107093000;2516000;-304000;;;;;136507000;-54411000;;;-64347000;-70228000;-33124000;-236000;-106842000;-34682000
AAT;919944;USD;2019;FY;2019-12-31;2020-02-14;2022-02-11;54110949;70786132;60188000;96205000;-486000;-2091000;;;;;153816000;-596107000;;8191000;-599183000;-80605000;65238000;515354000;497546000;52179000
AAT;919944;USD;2020;FY;2020-12-31;2021-02-16;2022-02-11;59806309;76119763;35588000;108292000;-7056000;-9839000;;;;;126985000;-63488000;;;-69077000;-76510000;48997000;;-28310000;29598000
AAT;919944;USD;2021;FY;2021-12-31;2022-02-11;2022-02-11;59990343;76171880;36593000;116306000;-4190000;19620000;;;;;168329000;-309099000;-37000;;-312278000;-88936000;239300000;;144424000;475000
AAWH;2265764;USD;2020;FY;2020-12-31;2021-02-25;2022-03-11;167790414;167790414;-23841000;12561000;5871000;-595000;;;;;-6004000;204000;;-26044000;-30872000;;85567000;;82168000;45292000
AAWH;2265764;USD;2021;FY;2021-12-31;2022-03-11;2022-03-11;149434000;149434000;-122657000;22219000;91543000;-32843000;;;;;-41738000;-87498000;;-23086000;-113233000;;180233000;81909000;252355000;97384000
AAWW;762204;USD;2017;FY;2017-12-31;2018-02-22;2019-02-19;25241000;25854000;223473000;197463000;-47210000;-42007000;;;;;331719000;-87555000;4462000;0;-541557000;;451623000;-10613000;363452000;153614000
AAWW;762204;USD;2018;FY;2018-12-31;2019-02-19;2021-02-18;25542000;28281000;270567000;265553000;-51731000;-58809000;;;;;425580000;-114415000;13604000;;-701262000;;210841000;;216559000;-59123000
AAWW;762204;USD;2019;FY;2019-12-31;2020-04-28;2022-02-17;25828000;25828000;-293113000;316821000;413810000;-137174000;;;;;300344000;-123254000;15624000;-2028000;-285761000;;-128682000;;-133894000;-119311000
AAWW;762204;USD;2020;FY;2020-12-31;2021-02-18;2022-02-17;26408000;26690000;360286000;328101000;236207000;84948000;;;;;1009542000;47402000;881000;-9298000;-145288000;;-112016000;;-121403000;742851000
AAWW;762204;USD;2021;FY;2021-12-31;2022-02-17;2022-02-17;29023000;30547000;493317000;357330000;171396000;-99059000;;;;;922984000;-80818000;;-4893000;-493395000;;-329877000;;-364853000;64736000
ABAX;36105;USD;2016;FY;2017-03-31;2017-07-28;2018-05-30;22515000;22797000;32716000;7340000;4969000;-11873000;;;;;33152000;-10171000;-1948000;-3784000;-15903000;-11715000;;0;-13619000;3009000
ABAX;36105;USD;2017;FY;2018-03-31;2018-07-30;2018-07-30;22672000;23135000;27177000;8006000;15042000;-6709000;;;;;43516000;-6046000;-66141000;-1250000;-73437000;-13611000;;0;-16201000;-45055000
ABBV;61199;USD;2017;FY;2017-12-31;2018-02-16;2019-02-27;1596000000;1603000000;5309000000;1501000000;3141000000;9000000;;;;;9960000000;-529000000;563000000;;-274000000;-4107000000;-2000000;-1156000000;-5512000000;4203000000
ABBV;61199;USD;2018;FY;2018-12-31;2019-02-27;2021-02-19;1541000000;1546000000;5687000000;1765000000;5584000000;391000000;;;;;13427000000;-638000000;368000000;-736000000;-1006000000;-5580000000;3229000000;-11941000000;-14396000000;-2014000000
ABBV;61199;USD;2019;FY;2019-12-31;2020-02-21;2022-02-18;1481000000;1484000000;7882000000;2017000000;4876000000;-1451000000;;;;;13324000000;-552000000;2116000000;-1135000000;596000000;-6366000000;26247000000;-621000000;18708000000;32635000000
ABBV;61199;USD;2020;FY;2020-12-31;2021-02-19;2022-02-18;1667000000;1673000000;4622000000;6471000000;6389000000;106000000;;;;;17588000000;-798000000;1464000000;-39610000000;-37557000000;-7716000000;-2683000000;-769000000;-11501000000;-31475000000
ABBV;61199;USD;2021;FY;2021-12-31;2022-02-18;2022-02-18;1767880465;1778000000;11549000000;8521000000;4029000000;-1322000000;;;;;22777000000;-787000000;-21000000;-1902000000;-2344000000;-9261000000;-8414000000;-690000000;-19039000000;1297000000
ABC;187024;USD;2017;FY;2017-09-30;2017-11-21;2018-11-20;218375000;221602000;364484000;432331000;240171000;467152000;;;;;1504138000;-466397000;26143000;-60901000;-498041000;-320270000;-749553000;-227006000;-1312814000;-306717000
ABC;187024;USD;2018;FY;2018-09-30;2018-11-20;2020-11-19;217872000;220336000;1615892000;510109000;-490950000;-202089000;;;;;1432962000;-328311000;;-785299000;-1132688000;-333041000;635695000;-500779000;-242873000;57401000
ABC;187024;USD;2019;FY;2019-09-30;2019-11-19;2021-11-23;210165000;211840000;854135000;497512000;623178000;369198000;;;;;2344023000;-308927000;;-63951000;-375832000;-338974000;-133073000;-597797000;-1086513000;881678000
ABC;187024;USD;2020;FY;2020-09-30;2020-11-19;2022-11-22;204783000;204783000;-3399558000;408013000;-1070443000;6269028000;;;;;2207040000;-333313000;;-56080000;-379871000;-343578000;-32006000;-260916000;-603617000;1223552000
ABC;187024;USD;2021;FY;2021-09-30;2021-11-02;2022-11-22;206156000;208912000;1544608000;514786000;239870000;367322000;;;;;2666586000;-423778000;;-5725660000;-6141577000;-366648000;2216552000;116600000;1952849000;-1527618000
ABCD;358762;USD;2017;FY;2017-12-31;2018-03-07;2018-03-07;46416000;47594000;45055000;20765000;-23264000;6647000;;;;;49203000;-18160000;;-1044000;-19204000;;-27650000;1214000;-26436000;3563000
ABCL;1250893;USD;2019;FY;2019-12-31;2020-03-29;2022-02-25;152091589;226039616;-2211000;1604000;1327000;1974000;;;;;2694000;-3997000;;;-5780000;;181000;14000;195000;-2891000
ABCL;1250893;USD;2020;FY;2020-12-31;2021-02-10;2022-02-25;152413300;237723530;118918000;4836000;15637000;-116701000;;;;;22690000;-14673000;;-87643000;-119780000;;85151000;598502000;683653000;586563000
ABCL;1250893;USD;2021;FY;2021-12-31;2022-02-25;2022-02-25;278933760;278933760;153464000;14465000;34983000;41672000;;;;;244584000;-58452000;-264636000;-11457000;-332247000;;-5951000;4615000;-3886000;-92974000
ABEO;953884;USD;2017;FY;2017-12-31;2018-02-09;2020-03-16;1665470;1665470;-27319000;741000;5789000;-1866000;;;;;-22655000;-860000;;;-860000;;;92403000;92403000;68888000
ABEO;953884;USD;2018;FY;2018-12-31;2019-02-09;2020-03-16;76045;76045;-56671000;2360000;8240000;6960000;;;;;-39111000;-9243000;;-10251000;-85086000;;;5477000;5477000;-118720000
ABEO;953884;USD;2019;FY;2019-12-31;2020-03-16;2021-03-24;80567;80567;-76282000;7819000;9196000;-3553000;;;;;-62820000;-6309000;;-199000;59976000;;;113902000;113902000;111058000
ABEO;953884;USD;2020;FY;2020-12-31;2021-03-24;2022-03-31;3706543;3706543;-84234000;4586000;42995000;1634000;;;;;-35019000;-1336000;;;-83714000;;1758000;178000;1936000;-116797000
ABEO;953884;USD;2021;FY;2021-12-31;2022-02-16;2022-03-31;3706543;3706543;-84936000;3250000;34284000;-18263000;;;;;-65665000;-4151000;;;66062000;;;26315000;24861000;25258000
ABG;545489;USD;2017;FY;2017-12-31;2018-02-27;2018-02-27;20800000;21000000;139100000;32100000;48200000;46900000;;;;;266300000;-41900000;;-80100000;-127800000;;-122700000;-39600000;-137200000;1300000
ABG;545489;USD;2018;FY;2018-12-31;2019-02-28;2021-03-01;20100000;20300000;168000000;33700000;45100000;-236700000;;;;;10100000;-58300000;;-91300000;-149600000;;232300000;;143100000;3600000
ABG;545489;USD;2019;FY;2019-12-31;2020-03-02;2022-03-01;19100000;19300000;184400000;36200000;61100000;68100000;;;;;349800000;-56700000;;-170900000;-227600000;;-145400000;;-127000000;-4800000
ABG;545489;USD;2020;FY;2020-12-31;2021-01-26;2022-03-01;19200000;19300000;254400000;38500000;48000000;311600000;;;;;652500000;-44600000;;-776200000;-820800000;;97500000;;166200000;-2100000
ABG;545489;USD;2021;FY;2021-12-31;2022-03-01;2022-03-01;21700000;21800000;532400000;41900000;80800000;508600000;;;;;1163700000;-277600000;-300000;-3639100000;-3917000000;;2086800000;666900000;2930800000;177500000
ABIO;953886;USD;2017;FY;2017-12-31;2018-03-22;2019-02-27;579985;579985;-18490000;27000;906000;85000;;;;;-17472000;-3000;12929000;;12926000;;-256000;6551000;5847000;1301000
ABIO;953886;USD;2018;FY;2018-12-31;2019-02-27;2020-02-18;769392;769392;-7933000;22000;275000;-608000;;;;;-8244000;-4000;3050000;;3046000;;-311000;3532000;3104000;-2094000
ABIO;953886;USD;2019;FY;2019-12-31;2020-02-18;2021-03-18;1321234;1321234;-5482000;18000;222000;441000;;;;;-4801000;-4000;;;-4000;;-349000;7281000;6560000;1755000
ABIO;953886;USD;2020;FY;2020-12-31;2021-03-18;2022-03-14;4710237;4710237;-9738000;8000;128000;1877000;;;;;-7725000;-19000;;;-19000;;-408000;50894000;48452000;40708000
ABIO;953886;USD;2021;FY;2021-12-31;2022-03-14;2022-03-14;14410143;14410143;-19322000;16000;572000;-28000;;;;;-18762000;-43000;;;-43000;;;24070000;23093000;4288000
ABM;199984;USD;2017;FY;2017-10-31;2017-12-22;2018-12-21;57700000;58300000;78100000;70100000;-8200000;-38300000;;;;;5600000;-53200000;0;-818500000;-871700000;-39500000;937800000;-8600000;874000000;9400000
ABM;199984;USD;2018;FY;2018-10-31;2018-12-21;2020-12-17;66100000;66400000;96000000;112500000;49600000;41600000;;;;;320900000;-48600000;;-1900000;-48000000;-46000000;-245500000;;-295700000;-23500000
ABM;199984;USD;2019;FY;2019-10-31;2019-12-20;2021-12-22;66600000;66900000;127500000;107400000;30800000;-2800000;;;;;262800000;-58300000;;;-58300000;-47700000;-143700000;;-184800000;19500000
ABM;199984;USD;2020;FY;2020-10-31;2020-12-17;2022-12-21;66900000;67300000;100000;96400000;187800000;173000000;;;;;457400000;-32500000;;;-27500000;-49300000;-86500000;-5100000;-93900000;335800000
ABM;199984;USD;2021;FY;2021-10-31;2021-12-22;2022-12-21;67300000;67800000;126300000;89900000;-11100000;109300000;;;;;314400000;-29900000;;-710200000;-740100000;-51000000;160700000;;92400000;-331400000
ABMC;160965;USD;2017;FY;2017-12-31;2018-04-12;2018-04-12;29211454;29211454;-545000;80000;223000;423000;;;;;181000;-64000;;;-64000;;-237000;;-237000;-120000
ABMC;160965;USD;2018;FY;2018-12-31;2019-04-16;2019-04-16;30115063;30115063;-1028000;81000;260000;467000;;;;;-220000;-22000;;;-22000;;319000;;319000;77000
ABMC;160965;USD;2019;FY;2019-12-31;2020-07-24;2021-04-15;32526669;32526669;-681000;81000;225000;433000;;;;;58000;0;;;0;;-167000;;-167000;-109000
ABMC;160965;USD;2020;FY;2020-12-31;2021-04-15;2022-04-15;38859032;38859032;-796000;79000;251000;-17000;;;;;-483000;-4000;;;-4000;;629000;;581000;94000
ABMC;160965;USD;2021;FY;2021-12-31;2022-04-15;2022-04-15;35558105;35558105;-463000;68000;-97000;-181000;;;;;-673000;0;;;0;;690000;;690000;17000
ABMD;445587;USD;2016;FY;2017-03-31;2017-05-25;2017-05-25;43238000;44658000;52116000;6202000;49875000;6923000;;;;;115116000;-50415000;-73019000;;-126333000;;-446000;10660000;3867000;-9191000
ABMD;445587;USD;2017;FY;2018-03-31;2018-05-24;2018-05-24;44153000;45849000;112170000;11005000;86961000;-17590000;;;;;192546000;-55863000;-118499000;;-180762000;;-517000;9303000;-9137000;3935000
ABMD;445587;USD;2018;FY;2019-03-31;2019-05-23;2021-05-21;44911000;46151000;259016000;14121000;17901000;-38841000;;;;;252197000;-44004000;-72451000;;-116455000;;;16001000;-55775000;78046000
ABMD;445587;USD;2019;FY;2020-03-31;2020-05-21;2022-05-20;45179000;45816000;203009000;20430000;83456000;8025000;;;;;314920000;-44006000;-81449000;;-125455000;;;-76028000;-117715000;71320000
ABMD;445587;USD;2020;FY;2021-03-31;2021-05-21;2022-05-20;45140000;45674000;225525000;24097000;42342000;-17386000;;;;;274578000;-53383000;-117778000;-52183000;-223344000;;;3244000;-8067000;40369000
ABNB;1214552;USD;2019;FY;2019-12-31;2020-02-26;2022-02-25;263013000;263013000;-674339000;114162000;162522000;620382000;;;;;222727000;-125452000;144930000;-400298000;-347155000;;;5873000;854579000;704867000
ABNB;1214552;USD;2020;FY;2020-12-31;2021-02-05;2022-02-25;263726000;263726000;-4584716000;125876000;4113718000;-284610000;;;;;-629732000;-37371000;125561000;;79590000;;1923880000;3665944000;2940814000;2524809000
ABNB;1214552;USD;2021;FY;2021-12-31;2022-02-25;2022-02-25;621012000;681916000;-352034000;138319000;1765486000;637923000;;;;;2189694000;-25322000;-1327133000;;-1351955000;;-228717000;188193000;1431159000;2059037000
ABR;638468;USD;2018;FY;2018-12-31;2019-02-15;2019-02-15;70208165;93642168;148051000;7453000;-185034000;-8205000;;;;-8205000;-37735000;;915172000;;-681875000;-75637000;9631145000;146351000;816507000;96897000
ABR;638468;USD;2019;FY;2019-12-31;2020-01-30;2022-02-18;92851327;116192951;155238000;7510000;-377228000;-12057000;;;;-12057000;-226537000;;1745704000;;-994740000;-138802000;9988229000;248809000;1391170000;169893000
ABR;638468;USD;2020;FY;2020-12-31;2021-02-19;2022-02-18;113811471;133969296;196157000;7640000;-155572000;6940000;;;;6940000;55165000;8870000;1225790000;;-1156624000;-173109000;13624545000;162054000;1127895000;26436000
ABR;638468;USD;2021;FY;2021-12-31;2022-02-18;2022-02-18;113811471;133969296;377807000;7215000;-95254000;-72921000;;;;-72921000;216847000;;2458076000;;-6750254000;-227062000;19705715000;1036188000;6887679000;354272000
ABSI;1250894;USD;2020;FY;2020-12-31;2021-03-10;2022-03-22;15215747;15215747;-14353000;1131000;1244000;1008000;;;;;-10970000;-2171000;;;-2171000;;70973000;;70973000;57832000
ABSI;1250894;USD;2021;FY;2021-12-31;2022-03-22;2022-03-22;90375022;90375022;-100960000;6654000;36854000;-3146000;;;;;-60598000;-38047000;-1200000;-28130000;-67377000;;125797000;210396000;336193000;208218000
ABT;63877;USD;2017;FY;2017-12-31;2018-02-16;2018-02-16;1740000000;1749000000;477000000;3021000000;157000000;1915000000;;;;;5570000000;-1135000000;-81000000;-8437000000;-9618000000;-1849000000;-2942000000;233000000;-5281000000;-9213000000
ABT;63877;USD;2018;FY;2018-12-31;2019-02-22;2021-02-19;1758000000;1770000000;2368000000;3278000000;802000000;-148000000;;;;;6300000000;-1394000000;-58000000;-6000000;-1356000000;-1974000000;-8450000000;33000000;-10391000000;-5563000000
ABT;63877;USD;2019;FY;2019-12-31;2020-02-21;2022-02-18;1768000000;1781000000;3687000000;3014000000;766000000;-1331000000;;;;;6136000000;-1638000000;-82000000;-122000000;-1815000000;-2270000000;-1599000000;-420000000;-4289000000;16000000
ABT;63877;USD;2020;FY;2020-12-31;2021-02-19;2022-02-18;1773000000;1786000000;4495000000;3327000000;971000000;-892000000;;;;;7901000000;-2177000000;-73000000;16000000;-2215000000;-2560000000;-50000000;-158000000;-2779000000;2978000000
